gz_id,label,start,end_,partido_generico,provincia_generica,region,iglesia_cat,servido_por,categoria,categoria_especial,cabildo,parcialidad,es_parte_de,lat,lon,cert,metodo,curato_generico,pais,nombre,variantes,nombrehoy,santo,start_ex,end_ex,fuente_ID,importancia
1002741,Temutitlan,1111,9999,Teococuilco,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,17.5819440001,-96.5713890001,Buena,Geoservice/Satelite,None,MEX,Soledad Temutitlan (Tectitlan),Tectitlan,None,Soledad,start,end,tanck,7
1002742,Teojomulco,1111,9999,Teozacualco,Oaxaca,NES,Curato,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,16.5888890004,-97.2249999999,Buena,Geoservice/Satelite,Teojomulco,MEX,Santo Domingo Teojomulco,None,None,Santo Domingo,start,end,tanck,6
1002743,Tlapanalquiahuitl,1111,9999,Teozacualco,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,16.4611110003,-97.4980559996,Buena,Geoservice/Satelite,None,MEX,Santa Maria Tlapanalquiahuitl,None,None,Santa Maria,start,end,tanck,7
1002744,Totomoxtla,1111,9999,Teococuilco,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,17.6122219997,-96.5591670004,Buena,Geoservice/Satelite,None,MEX,Santa Maria Natividad Totomoxtla,None,None,Santa Maria Natividad,start,end,tanck,7
1002745,Yareni,1111,9999,Teococuilco,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,17.397222,-96.6102780002,Buena,Geoservice/Satelite,None,MEX,Santa Ana Yareni,None,None,Santa Ana,start,end,tanck,7
1002746,Yolox,1111,9999,Teococuilco,Oaxaca,NES,Curato,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,17.5875,-96.5516669998,Buena,Geoservice/Satelite,Yolox,MEX,San Pedro Yolox,None,None,San Pedro,start,end,tanck,6
1002747,Yutanduchi,1111,9999,Teozacualco,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,17.036111,-97.295833,Buena,Geoservice/Satelite,None,MEX,Santa Maria Yutanduchi,None,None,Santa Maria,start,end,tanck,7
1002748,Yutanino,1111,9999,Teozacualco,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,16.7897219998,-97.4597219999,Buena,Geoservice/Satelite,None,MEX,San Sebastian Yutanino,None,None,San Sebastian,start,end,tanck,7
1002749,Zapotitlan,1111,9999,Teozacualco,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,16.8455559998,-97.2366670001,Buena,Geoservice/Satelite,None,MEX,San Felipe Zapotitlan,None,None,San Felipe,start,end,tanck,7
1002750,Zenzontepec,1111,9999,Teozacualco,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,16.5333329997,-97.4952780001,Buena,Geoservice/Satelite,None,MEX,Santa Cruz Zenzontepec,None,None,Santa Cruz,start,end,tanck,7
1002751,Zoquiapam,1111,9999,Teococuilco,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,17.2550000001,-96.6205560003,Buena,Geoservice/Satelite,None,MEX,Santiago Zoquiapam,None,None,Santiago,start,end,tanck,7
1002752,Tanatepec,1111,9999,Teposcolula,Oaxaca,NES,s.d.,s.d.,Poblacion,"""Pueblo""",s.d.,No,1000000,17.5052189999,-96.968421,Interpolada,Mapa moderno,None,MEX,Tanatepec,None,None,None,start,end,gerhardNE,7
1002753,Achiutla,1111,9999,Teposcolula,Oaxaca,NES,Curato,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,17.3044439996,-97.488333,Buena,Geoservice/Satelite,Achiutla,MEX,San Miguel Achiutla,None,None,San Miguel,start,end,tanck,6
1002754,Achiutla,1111,9999,Teposcolula,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,17.3444439997,-97.5069440003,Buena,Geoservice/Satelite,None,MEX,San Juan Achiutla,None,None,San Juan,start,end,tanck,7
1002755,Acutla,1111,9999,Teposcolula,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,17.743611,-97.4988890002,Buena,Geoservice/Satelite,None,MEX,San Antonio Acutla,None,None,San Antonio,start,end,tanck,7
1002756,Adequez,1111,9999,Teposcolula,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,17.4361110001,-97.1466670001,Buena,Geoservice/Satelite,None,MEX,Santa Catalina Adequez,None,None,Santa Catalina,start,end,tanck,7
1002757,Adequez,1111,9999,Teposcolula,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,17.4569440004,-97.1455560001,Buena,Geoservice/Satelite,None,MEX,San Miguel Adequez,None,None,San Miguel,start,end,tanck,7
1002758,Almoloyas,1111,9999,Teposcolula,Oaxaca,NES,Curato,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,17.6083330003,-97.0230559996,Buena,Geoservice/Satelite,Almoloyas,MEX,Santa Maria Almoloyas,None,None,Santa Maria,start,end,tanck,6
1002759,Amatlan,1111,9999,Teposcolula,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,17.5266669997,-97.2213889997,Buena,Geoservice/Satelite,None,MEX,Santiago Amatlan,None,None,Santiago,start,end,tanck,7
1002760,Amoltepec,1111,9999,Teposcolula,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,17.2847220002,-97.5694440001,Buena,Geoservice/Satelite,None,MEX,San Cristobal Amoltepec,None,None,San Cristobal,start,end,tanck,7
1002761,Añañe,1111,9999,Teposcolula,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,17.5208330004,-97.3680560004,Buena,Geoservice/Satelite,None,MEX,San Pedro Añañe,None,None,San Pedro,start,end,tanck,7
1002762,Añuma,1111,9999,Teposcolula,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,17.4049999999,-97.1816669998,Buena,Geoservice/Satelite,None,MEX,Santa Maria Añuma,None,None,Santa Maria,start,end,tanck,7
1002763,Apazco,1111,9999,Teposcolula,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,17.6333330002,-97.1011110001,Buena,Geoservice/Satelite,None,MEX,Santa Maria Apazco,None,None,Santa Maria,start,end,tanck,7
1002764,Apoala,1111,9999,Teposcolula,Oaxaca,NES,Curato,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,17.6499999999,-97.1388890002,Buena,Geoservice/Satelite,Apoala,MEX,Santiago Apoala,None,None,Santiago,start,end,tanck,6
1002765,Astatla,1111,9999,Teposcolula,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,17.9630559997,-97.4213890002,Buena,Geoservice/Satelite,None,MEX,San Miguel Astatla,None,None,San Miguel,start,end,tanck,7
1002766,Atatlahuca,1111,9999,Teposcolula,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,17.0652779997,-97.6772219998,Buena,Geoservice/Satelite,None,MEX,San Esteban Atatlahuca,None,None,San Esteban,start,end,tanck,7
1002767,Atoyaquillo,1111,9999,Teposcolula,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,16.8033329997,-97.7833329999,Buena,Geoservice/Satelite,None,MEX,Asuncion Atoyaquillo,None,None,Asuncion,start,end,tanck,7
1002768,Camotlan,1111,9999,Teposcolula,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,17.4583329997,-97.0227780003,Buena,Geoservice/Satelite,None,MEX,Santiago Camotlan (La Anona),La Anona,None,Santiago,start,end,tanck,7
1002769,Cantaros,1111,9999,Teposcolula,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,17.3316670004,-97.1377780003,Buena,Geoservice/Satelite,None,MEX,San Pedro Cantaros (Coxcaltepec),Coxcaltepec,None,San Pedro,start,end,tanck,7
1002770,Capulalpam,1111,9999,Teposcolula,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,17.7633330003,-97.3980559998,Buena,Geoservice/Satelite,None,MEX,Santa Cruz Capulalpam,None,None,Santa Cruz,start,end,tanck,7
1002771,Chalcatongo,1111,9999,Teposcolula,Oaxaca,NES,Curato,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,17.029167,-97.5694440001,Buena,Geoservice/Satelite,Chalcatongo,MEX,Natividad Chalcatongo,None,None,Natividad,start,end,tanck,6
1002772,Chicahua,1111,9999,Teposcolula,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,17.6358330004,-97.1947220002,Buena,Geoservice/Satelite,None,MEX,San Miguel Chicahua,None,None,San Miguel,start,end,tanck,7
1002773,Chicahuaxtla,1111,9999,Teposcolula,Oaxaca,NES,Curato,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,17.1555559999,-97.8383330002,Buena,Geoservice/Satelite,Chicahuaxtla,MEX,San Andres Chicahuaxtla,None,None,San Andres,start,end,tanck,6
1002774,Chicahuaxtla,1111,9999,Teposcolula,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,17.1722220004,-97.7980559999,Buena,Geoservice/Satelite,None,MEX,San Miguel Chicahuaxtla (Progreso),None,Progreso,San Miguel,start,end,tanck,7
1002775,Chilapa,1111,9999,Teposcolula,Oaxaca,NES,Curato,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,17.5888890002,-97.631944,Buena,Geoservice/Satelite,Chilapa,MEX,Presentacion Chilapa,None,None,Presentacion,start,end,tanck,6
1002776,Coixtlahuaca,1111,9999,Teposcolula,Oaxaca,NES,Curato,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,17.7236110004,-97.3236110003,Buena,Geoservice/Satelite,Coixtlahuaca,MEX,San Juan Bautista Coixtlahuaca,None,None,San Juan Bautista,start,end,tanck,5
1002777,Concepcion,1111,9999,Teposcolula,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,17.8777779999,-97.3988890004,Buena,Geoservice/Satelite,None,MEX,Concepcion (Buenavista),Buenavista,None,None,start,end,tanck,7
